place_id,name,place_type,state,lga,lat,lon,is_hub,nearest_node,snap_distance_m,hub_access_before,hub_access_impassable_only,hub_access_all_blocking,isolation_category,isolation_confidence,isolation_reason,nearby_blocking_closures_json
53,Alpha,,QLD,,-23.6487639,146.6375809,False,797788,31.8,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
58,Amamoor,,QLD,,-26.3453044,152.6746864,False,1987737,21.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
60,Amby,,QLD,,-26.5490156,148.1875799,False,981410,29.0,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
148,Ballandean,,Qld,,-28.7988456,151.84266,False,2325004,67.3,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
162,Bamaga,,QLD,,-10.8884267,142.3920741,False,321263,68.6,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
232,Beerwah,,QLD,,-26.8580257,152.9569066,False,2098887,30.4,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
243,Bell,,QLD,,-26.92752,151.4494868,False,1714155,272.6,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
303,Biggenden,,QLD,,-25.5105,152.0458009,False,591393,45.0,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
321,Blackall,,QLD,,-24.4231685,145.4648487,False,657714,11.9,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
326,Blackbutt,,QLD,,-26.8830029,152.1031034,False,1867010,73.5,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
386,Boonah,,QLD,,-27.9968966,152.6819604,False,2570885,61.5,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
393,Bootooloo,,QLD,,-20.0466594,148.2060131,False,776866,519.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
443,Brigalow,,QLD,,-26.8415264,150.7911363,False,1146114,202.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
449,Brisbane,,QLD,,-27.4689682,153.0234991,True,3668486,80.4,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
507,Bundaberg,,QLD,,-24.8653253,152.3516785,True,1539377,26.3,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
521,Burketown,,QLD,,-17.7400597,139.5465396,False,32119,99.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
529,Burpengary,,QLD,,-27.1566105,152.9696319,False,3322450,17.2,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
566,Cairns,,QLD,,-16.9206657,145.7721854,True,392090,6.7,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
604,Canungra,,QLD,,-28.0171019,153.165254,False,3746674,30.8,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
605,Capalaba,,QLD,,-27.522037,153.1918063,False,3449571,5.9,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
626,Carindale,,QLD,,-27.5032764,153.1040678,False,3273033,25.5,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
665,Cecil Plains,,QLD,,-27.532137,151.1947602,False,1619911,98.7,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
682,Charleville,,QLD,,-26.406265,146.2420417,True,780666,102.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
692,Chermside,,QLD,,-27.3863441,153.0313687,False,3230778,62.3,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
697,Childers,,QLD,,-25.2345404,152.2768198,False,1727609,51.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
699,Chinchilla,,QLD,,-26.7416613,150.6225161,False,1093351,27.8,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
730,Clermont,,QLD,,-22.8246746,147.6403071,False,965666,6.4,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
740,Cloncurry,,QLD,,-20.7051873,140.5058305,False,403279,57.4,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
767,Coen,,QLD,,-13.9446365,143.199715,False,155645,52.2,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
785,Collinsville,,QLD,,-20.549259,147.8434135,False,770721,57.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
812,Cooktown,,QLD,,-15.4726622,145.2534218,False,190982,74.4,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
813,Coolangatta,,QLD,,-28.1682934,153.538753,False,2824632,28.2,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
829,Cooyar,,QLD,,-26.9825098,151.834014,False,1829094,42.5,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
847,Cotswold Hills,,QLD,,-27.5252363,151.8917758,False,2347370,109.8,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
884,Crows Nest,,QLD,,-27.2612975,152.0555164,False,1818660,66.7,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
