place_id,name,state,lga,lat,lon,is_hub,place_type,loc_code,area_sqkm,source,source_objectid,official_name_raw,point_method,graph_node,official_centre_lat,official_centre_lon,roadpoint_offset_m
449,Brisbane,QLD,,-27.4689682,153.0234991,1,hub_anchor_existing,,,existing_places_csv_unmatched_hub,,Brisbane,existing_hub_coordinate_preserved,,,,
507,Bundaberg,QLD,,-24.8653253,152.3516785,1,hub_anchor_existing,,,existing_places_csv_unmatched_hub,,Bundaberg,existing_hub_coordinate_preserved,,,,
566,Cairns,QLD,,-16.9206657,145.7721854,1,hub_anchor_existing,,,existing_places_csv_unmatched_hub,,Cairns,existing_hub_coordinate_preserved,,,,
qld_locality_578,Charleville,QLD,Murweh Shire,-26.3954307,146.2961412,1,hub_anchor_official_locality,578,613.4885800000001,qld_admin_boundaries_locality_boundary_plus_existing_hub_coordinate,591,Charleville,existing_hub_coordinate_preserved,,-26.3879651,146.3189971,
1502,Hervey Bay,QLD,,-25.2985784,152.8535216,1,hub_anchor_existing,,,existing_places_csv_unmatched_hub,,Hervey Bay,existing_hub_coordinate_preserved,,,,
qld_locality_1577,Longreach,QLD,Longreach Regional,-23.3495178,143.7016540,1,hub_anchor_official_locality,1577,23469.831118,qld_admin_boundaries_locality_boundary_plus_existing_hub_coordinate,2260,Longreach,existing_hub_coordinate_preserved,,-23.3828038,143.6406708,
qld_locality_1893,Mount Isa,QLD,Mount Isa City,-20.5359808,139.4549052,1,hub_anchor_official_locality,1893,6962.125453,qld_admin_boundaries_locality_boundary_plus_existing_hub_coordinate,1012,Mount Isa,existing_hub_coordinate_preserved,,-20.4943621,139.4079595,
3169,Toowoomba,QLD,,-27.5610193,151.953351,1,hub_anchor_existing,,,existing_places_csv_unmatched_hub,,Toowoomba,existing_hub_coordinate_preserved,,,,
3177,Townsville,QLD,,-19.2569391,146.8239537,1,hub_anchor_existing,,,existing_places_csv_unmatched_hub,,Townsville,existing_hub_coordinate_preserved,,,,
qld_locality_4332,Abbeywood,QLD,South Burnett Regional,-26.0943878,151.6561812,0,locality_road_representative_point,4332,34.87693,qld_admin_boundaries_locality_boundary,23,Abbeywood,road_node_inside_locality,1793424,-26.1075824,151.6464218,1963.6
